,Date,Time,Status,Team 1,Team 2,Score,Result,Year
31,"Thursday, 17 August",21:00 (IST),Match 33 - Completed ,Gujarat,Bengal,26  - 26,Match Tied,2017
32,"Friday, 18 August",20:00 (IST),Match 34 - Completed ,U.P.,U,34  - 37,U Mumba beat U.P. Yoddha (37-34),2017
33,"Friday, 18 August",21:00 (IST),Match 35 - Completed ,Bengaluru,Jaipur,28  - 30,Jaipur Pink Panthers beat Bengaluru Bulls (30-28),2017
34,"Saturday, 19 August",20:00 (IST),Match 36 - Completed ,Telugu,U,37  - 32,Telugu Titans beat U Mumba (37-32),2017
35,"Saturday, 19 August",21:00 (IST),Match 37 - Completed ,U.P.,Haryana,29  - 36,Haryana Steelers beat U.P. Yoddha (36-29),2017
36,"Sunday, 20 August",20:00 (IST),Match 38 - Completed ,Patna,Puneri,42  - 47,Puneri Paltan beat Patna Pirates (47-42),2017
37,"Sunday, 20 August",21:00 (IST),Match 39 - Completed ,U.P.,Jaipur,22  - 24,Jaipur Pink Panthers beat U.P. Yoddha (24-22),2017
38,"Tuesday, 22 August",20:00 (IST),Match 40 - Completed ,Gujarat,Puneri,35  - 21,Gujarat Fortunegiants beat Puneri Paltan (35-21),2017
39,"Tuesday, 22 August",21:00 (IST),Match 41 - Completed ,U.P.,Bengal,31  - 32,Bengal Warriors beat U.P. Yoddha (32-31),2017
40,"Wednesday, 23 August",20:00 (IST),Match 42 - Completed ,Haryana,Dabang,27  - 25,Haryana Steelers beat Dabang Delhi K.C. (27-25),2017
41,"Wednesday, 23 August",21:00 (IST),Match 43 - Completed ,U.P.,Tamil,33  - 33,Match Tied,2017
42,"Thursday, 24 August",20:00 (IST),Match 44 - Completed ,U.P.,Telugu,25  - 23,U.P. Yoddha beat Telugu Titans (25-23),2017
43,"Friday, 25 August",20:00 (IST),Match 45 - Completed ,U,Jaipur,36  - 39,Jaipur Pink Panthers beat U Mumba (39-36),2017
44,"Friday, 25 August",21:00 (IST),Match 46 - Completed ,Bengal,Patna,36  - 36,Match Tied,2017
45,"Saturday, 26 August",20:00 (IST),Match 47 - Completed ,Patna,Tamil,35  - 24,Patna Pirates beat Tamil Thalaivas (35-24),2017
46,"Saturday, 26 August",21:00 (IST),Match 48 - Completed ,U,Puneri,24  - 26,Puneri Paltan beat U Mumba (26-24),2017
47,"Sunday, 27 August",20:00 (IST),Match 49 - Completed ,Bengal,Bengaluru,32  - 26,Bengal Warriors beat Bengaluru Bulls (32-26),2017
48,"Sunday, 27 August",21:00 (IST),Match 50 - Completed ,U,Dabang,32  - 33,Dabang Delhi K.C. beat U Mumba (33-32),2017
49,"Wednesday, 30 August",20:00 (IST),Match 53 - Completed ,U,Haryana,38  - 32,U Mumba beat Haryana Steelers (38-32),2017
50,"Thursday, 31 August",20:00 (IST),Match 54 - Completed ,Telugu,Tamil,33  - 28,Telugu Titans beat Tamil Thalaivas (33-28),2017
51,"Thursday, 31 August",21:00 (IST),Match 55 - Completed ,U,Jaipur,36  - 32,U Mumba beat Jaipur Pink Panthers (36-32),2017
52,"Friday, 01 September",20:00 (IST),Match 56 - Completed ,Bengal,Patna,41  - 38,Bengal Warriors beat Patna Pirates (41-38),2017
53,"Saturday, 02 September",20:00 (IST),Match 57 - Completed ,Gujarat,Haryana,36  - 42,Haryana Steelers beat Gujarat Fortunegiants (42-36),2017
54,"Saturday, 02 September",21:00 (IST),Match 58 - Completed ,Bengal,U.P.,26  - 26,Match Tied,2017
55,"Sunday, 03 September",20:00 (IST),Match 59 - Completed ,Gujarat,Jaipur,25  - 31,Jaipur Pink Panthers beat Gujarat Fortunegiants (31-25),2017
56,"Sunday, 03 September",21:00 (IST),Match 60 - Completed ,Bengal,Tamil,29  - 25,Bengal Warriors beat Tamil Thalaivas (29-25),2017
57,"Tuesday, 05 September",20:00 (IST),Match 61 - Completed ,Patna,Jaipur,47  - 21,Patna Pirates beat Jaipur Pink Panthers (47-21),2017
58,"Tuesday, 05 September",21:00 (IST),Match 62 - Completed ,Bengal,Haryana,29  - 36,Haryana Steelers beat Bengal Warriors (36-29),2017
59,"Wednesday, 06 September",20:00 (IST),Match 63 - Completed ,Dabang,Bengaluru,38  - 30,Dabang Delhi K.C. beat Bengaluru Bulls (38-30),2017
60,"Wednesday, 06 September",21:00 (IST),Match 64 - Completed ,Bengal,U,31  - 37,U Mumba beat Bengal Warriors (37-31),2017
61,"Thursday, 07 September",20:00 (IST),Match 65 - Completed ,Telugu,Puneri,37  - 42,Puneri Paltan beat Telugu Titans (42-37),2017
62,"Thursday, 07 September",21:00 (IST),Match 66 - Completed ,Bengal,Dabang,31  - 31,Match Tied,2017
63,"Friday, 08 September",20:00 (IST),Match 67 - Completed ,Haryana,Patna,41  - 41,Match Tied,2017
64,"Friday, 08 September",21:00 (IST),Match 68 - Completed ,Gujarat,U.P.,30  - 30,Match Tied,2017
65,"Saturday, 09 September",20:00 (IST),Match 69 - Completed ,Patna,U,41  - 51,U Mumba beat Patna Pirates (51-41),2017
66,"Saturday, 09 September",21:00 (IST),Match 70 - Completed ,Haryana,Bengaluru,38  - 31,Haryana Steelers beat Bengaluru Bulls (38-31),2017
67,"Sunday, 10 September",20:00 (IST),Match 71 - Completed ,Bengaluru,Puneri,24  - 20,Bengaluru Bulls beat Puneri Paltan (24-20),2017
68,"Sunday, 10 September",21:00 (IST),Match 72 - Completed ,Haryana,Telugu,19  - 37,Telugu Titans beat Haryana Steelers (37-19),2017
69,"Tuesday, 12 September",20:00 (IST),Match 73 - Completed ,Bengal,Telugu,32  - 31,Bengal Warriors beat Telugu Titans (32-31),2017
70,"Tuesday, 12 September",21:00 (IST),Match 74 - Completed ,Haryana,Dabang,27  - 24,Haryana Steelers beat Dabang Delhi K.C. (27-24),2017
71,"Wednesday, 13 September",20:00 (IST),Match 75 - Completed ,Tamil,U.P.,34  - 33,Tamil Thalaivas beat U.P. Yoddha (34-33),2017
72,"Wednesday, 13 September",21:00 (IST),Match 76 - Completed ,Haryana,Puneri,22  - 38,Puneri Paltan beat Haryana Steelers (38-22),2017
73,"Thursday, 14 September",20:00 (IST),Match 77 - Completed ,Haryana,Jaipur,27  - 27,Match Tied,2017
74,"Friday, 15 September",20:00 (IST),Match 78 - Completed ,Patna,Telugu,46  - 30,Patna Pirates beat Telugu Titans (46-30),2017
75,"Friday, 15 September",21:00 (IST),Match 79 - Completed ,U,Gujarat,28  - 39,Gujarat Fortunegiants beat U Mumba (39-28),2017
76,"Saturday, 16 September",20:00 (IST),Match 80 - Completed ,Bengaluru,Telugu,26  - 26,Match Tied,2017
77,"Saturday, 16 September",21:00 (IST),Match 81 - Completed ,Patna,U.P.,45  - 42,Patna Pirates beat U.P. Yoddha (45-42),2017
78,"Sunday, 17 September",20:00 (IST),Match 82 - Completed ,Jaipur,Dabang,36  - 25,Jaipur Pink Panthers beat Dabang Delhi K.C. (36-25),2017
79,"Sunday, 17 September",21:00 (IST),Match 83 - Completed ,Patna,Bengal,37  - 37,Match Tied,2017
80,"Tuesday, 19 September",20:00 (IST),match 84 - Completed ,Puneri,Haryana,37  - 25,Puneri Paltan beat Haryana Steelers (37-25),2017
81,"Tuesday, 19 September",21:00 (IST),Match 85 - Completed ,Patna,Bengaluru,36  - 32,Patna Pirates beat Bengaluru Bulls (36-32),2017
82,"Wednesday, 20 September",20:00 (IST),Match 52 - Completed ,U,Gujarat,23  - 45,Gujarat Fortunegiants beat U Mumba (45-23),2017
83,"Wednesday, 20 September",21:00 (IST),Match 86 - Completed ,Patna,Tamil,41  - 39,Patna Pirates beat Tamil Thalaivas (41-39),2017
84,"Thursday, 21 September",20:00 (IST),Match 87 - Completed ,Jaipur,Haryana,26  - 30,Haryana Steelers beat Jaipur Pink Panthers (30-26),2017
85,"Thursday, 21 September",21:00 (IST),Match 88 - Completed ,Patna,U.P.,41  - 46,U.P. Yoddha beat Patna Pirates (46-41),2017
86,"Friday, 22 September",20:00 (IST),Match 89 - Completed ,Dabang,U,28  - 30,U Mumba beat Dabang Delhi K.C. (30-28),2017
87,"Saturday, 23 September",20:00 (IST),Match 90 - Completed ,Bengaluru,Bengal,29  - 33,Bengal Warriors beat Bengaluru Bulls (33-29),2017
88,"Saturday, 23 September",21:00 (IST),Match 91 - Completed ,Dabang,Puneri,29  - 34,Puneri Paltan beat Dabang Delhi K.C. (34-29),2017
89,"Sunday, 24 September",20:00 (IST),Match 92 - Completed ,Bengal,Tamil,32  - 33,Tamil Thalaivas beat Bengal Warriors (33-32),2017
90,"Sunday, 24 September",21:00 (IST),Match 93 - Completed ,Dabang,Haryana,24  - 42,Haryana Steelers beat Dabang Delhi K.C. (42-24),2017
91,"Tuesday, 26 September",20:00 (IST),Match 94 - Completed ,Gujarat,Tamil,34  - 35,Tamil Thalaivas beat Gujarat Fortunegiants (35-34),2017
92,"Tuesday, 26 September",21:00 (IST),Match 95 - Completed ,Dabang,Patna,34  - 36,Patna Pirates beat Dabang Delhi K.C. (36-34),2017
93,"Wednesday, 27 September",20:00 (IST),Match 96 - Completed ,Telugu,Jaipur,41  - 34,Telugu Titans beat Jaipur Pink Panthers (41-34),2017
94,"Wednesday, 27 September",21:00 (IST),Match 97 - Completed ,Dabang,U.P.,16  - 45,U.P. Yoddha beat Dabang Delhi K.C. (45-16),2017
95,"Thursday, 28 September",20:00 (IST),Match 98 - Completed ,Bengaluru,U,30  - 42,U Mumba beat Bengaluru Bulls (42-30),2017
96,"Thursday, 28 September",21:00 (IST),Match 99 - Completed ,Dabang,Telugu,22  - 44,Telugu Titans beat Dabang Delhi K.C. (44-22),2017
97,"Friday, 29 September",20:00 (IST),Match 100 - Completed ,Tamil,Puneri,20  - 33,Puneri Paltan beat Tamil Thalaivas (33-20),2017
98,"Friday, 29 September",21:00 (IST),Match 101 - Completed ,Gujarat,Patna,30  - 29,Gujarat Fortunegiants beat Patna Pirates (30-29),2017
99,"Saturday, 30 September",20:00 (IST),Match 102 - Completed ,Puneri,U.P.,34  - 33,Puneri Paltan beat U.P. Yoddha (34-33),2017
100,"Saturday, 30 September",21:00 (IST),Match 103 - Completed ,Tamil,Jaipur,26  - 27,Jaipur Pink Panthers beat Tamil Thalaivas (27-26),2017
101,"Sunday, 01 October",20:00 (IST),Match 104 - Completed ,Jaipur,Bengal,31  - 32,Bengal Warriors beat Jaipur Pink Panthers (32-31),2017
102,"Sunday, 01 October",21:00 (IST),Match 105 - Completed ,Tamil,U,30  - 33,U Mumba beat Tamil Thalaivas (33-30),2017
103,"Tuesday, 03 October",20:00 (IST),Match 106 - Completed ,Dabang,Gujarat,22  - 42,Gujarat Fortunegiants beat Dabang Delhi K.C. (42-22),2017
104,"Tuesday, 03 October",21:00 (IST),Match 107 - Completed ,Tamil,Telugu,37  - 58,Telugu Titans beat Tamil Thalaivas (58-37),2017
105,"Wednesday, 04 October",20:00 (IST),Match 108 - Completed ,U,Haryana,30  - 41,Haryana Steelers beat U Mumba (41-30),2017
106,"Wednesday, 04 October",21:00 (IST),Match 109 - Completed ,Tamil,U.P.,33  - 37,U.P. Yoddha beat Tamil Thalaivas (37-33),2017
107,"Thursday, 05 October",20:00 (IST),Match 110 - Completed ,Tamil,Bengaluru,35  - 45,Bengaluru Bulls beat Tamil Thalaivas (45-35),2017
108,"Friday, 06 October",20:00 (IST),Match 111 - Completed ,Jaipur,Gujarat,23  - 29,Gujarat Fortunegiants beat Jaipur Pink Panthers (29-23),2017
109,"Friday, 06 October",21:00 (IST),Match 112 - Completed ,Puneri,Bengal,19  - 25,Bengal Warriors beat Puneri Paltan (25-19),2017
110,"Saturday, 07 October",20:00 (IST),Match 113 - Completed ,Haryana,Telugu,32  - 30,Haryana Steelers beat Telugu Titans (32-30),2017
111,"Saturday, 07 October",21:00 (IST),Match 114 - Completed ,Jaipur,U,36  - 32,Jaipur Pink Panthers beat U Mumba (36-32),2017
112,"Sunday, 08 October",20:00 (IST),Match 115 - Completed ,Gujarat,Patna,33  - 29,Gujarat Fortunegiants beat Patna Pirates (33-29),2017
113,"Sunday, 08 October",21:00 (IST),Match 116 - Completed ,Jaipur,Puneri,30  - 38,Puneri Paltan beat Jaipur Pink Panthers (38-30),2017
114,"Tuesday, 10 October",20:00 (IST),Match 117 - Completed ,U,Tamil,35  - 38,Tamil Thalaivas beat U Mumba (38-35),2017
115,"Tuesday, 10 October",21:00 (IST),Match 118 - Completed ,Jaipur,Dabang,34  - 35,Dabang Delhi K.C. beat Jaipur Pink Panthers (35-34),2017
116,"Wednesday, 11 October",20:00 (IST),Match 119 - Completed ,Dabang,Bengaluru,32  - 35,Bengaluru Bulls beat Dabang Delhi K.C. (35-32),2017
117,"Wednesday, 11 October",21:00 (IST),Match 120 - Completed ,Jaipur,Haryana,27  - 37,Haryana Steelers beat Jaipur Pink Panthers (37-27),2017
118,"Thursday, 12 October",20:00 (IST),Match 121 - Completed ,Jaipur,U.P.,32  - 53,U.P. Yoddha beat Jaipur Pink Panthers (53-32),2017
119,"Friday, 13 October",20:00 (IST),Match 122 - Completed ,Puneri,Gujarat,20  - 44,Gujarat Fortunegiants beat Puneri Paltan (44-20),2017
120,"Friday, 13 October",21:00 (IST),Match 123 - Completed ,Bengal,Tamil,34  - 30,Bengal Warriors beat Tamil Thalaivas (34-30),2017
121,"Saturday, 14 October",20:00 (IST),Match 124 - Completed ,Tamil,Patna,40  - 37,Tamil Thalaivas beat Patna Pirates (40-37),2017
122,"Saturday, 14 October",21:00 (IST),Match 125 - Completed ,Puneri,U,43  - 24,Puneri Paltan beat U Mumba (43-24),2017
123,"Sunday, 15 October",20:00 (IST),Match 126 - Completed ,Bengaluru,U.P.,38  - 32,Bengaluru Bulls beat U.P. Yoddha (38-32),2017
124,"Sunday, 15 October",21:00 (IST),Match 127 - Completed ,Puneri,Dabang,34  - 31,Puneri Paltan beat Dabang Delhi K.C. (34-31),2017
125,"Tuesday, 17 October",20:00 (IST),Match 51 - Completed ,Bengaluru,U.P.,64  - 24,Bengaluru Bulls beat U.P. Yoddha (64-24),2017
126,"Tuesday, 17 October",21:00 (IST),Match 128 - Completed ,Puneri,Haryana,27  - 31,Haryana Steelers beat Puneri Paltan (31-27),2017
127,"Wednesday, 18 October",20:00 (IST),Match 129 - Completed ,Patna,Bengaluru,29  - 29,Match Tied,2017
128,"Wednesday, 18 October",21:00 (IST),Match 130 - Completed ,Puneri,Jaipur,38  - 15,Puneri Paltan beat Jaipur Pink Panthers (38-15),2017
129,"Friday, 20 October",20:00 (IST),Match 131 - Completed ,Telugu,Bengal,37  - 37,Match Tied,2017
130,"Friday, 20 October",21:00 (IST),Match 132 - Completed ,Puneri,Gujarat,22  - 23,Gujarat Fortunegiants beat Puneri Paltan (23-22),2017
131,"Monday, 23 October",20:00 (IST),Eliminator 1 - Completed ,Puneri,U.P.,40  - 38,Puneri Paltan beat U.P. Yoddha (40-38),2017
132,"Monday, 23 October",21:00 (IST),Eliminator 2 - Completed ,Patna,Haryana,69  - 30,Patna Pirates beat Haryana Steelers (69-30),2017
133,"Tuesday, 24 October",20:00 (IST),Qualifier 1 - Completed ,Gujarat,Bengal,42  - 17,Gujarat Fortunegiants beat Bengal Warriors (42-17),2017
134,"Tuesday, 24 October",21:00 (IST),Eliminator 3 - Completed ,Puneri,Patna,32  - 42,Patna Pirates beat Puneri Paltan (42-32),2017
135,"Thursday, 26 October",20:00 (IST),Qualifier 2 - Completed ,Bengal,Patna,44  - 47,Patna Pirates beat Bengal Warriors (47-44),2017
136,"Saturday, 28 October",20:00 (IST),Final - Completed ,Gujarat,Patna,38  - 55,Patna Pirates beat Gujarat Fortunegiants (55-38),2017
0,"Saturday, 25 June",20:00 (IST),Match 1 - Completed ,Puneri,Telugu,28  - 24,Puneri Paltan beat Telugu Titans (28-24),2016
1,"Saturday, 25 June",21:00 (IST),Match 2 - Completed ,U,Jaipur,36  - 34,U Mumba beat Jaipur Pink Panthers (36-34),2016
2,"Sunday, 26 June",20:00 (IST),Match 3 - Completed ,Bengaluru,Bengal,24  - 23,Bengaluru Bulls beat Bengal Warriors (24-23),2016
3,"Sunday, 26 June",21:00 (IST),Match 4 - Completed ,Puneri,U,41  - 19,Puneri Paltan beat U Mumba (41-19),2016
4,"Monday, 27 June",20:00 (IST),Match 5 - Completed ,Bengal,Dabang,31  - 23,Bengal Warriors beat Dabang Delhi K.C. (31-23),2016
5,"Monday, 27 June",21:00 (IST),Match 6 - Completed ,Puneri,Patna,24  - 30,Patna Pirates beat Puneri Paltan (30-24),2016
6,"Tuesday, 28 June",20:00 (IST),Match 7 - Completed ,Puneri,Dabang,27  - 27,Match Tied,2016
7,"Wednesday, 29 June",20:00 (IST),Match 8 - Completed ,Jaipur,Telugu,28  - 24,Jaipur Pink Panthers beat Telugu Titans (28-24),2016
8,"Wednesday, 29 June",21:00 (IST),Match 9 - Completed ,U,Patna,34  - 36,Patna Pirates beat U Mumba (36-34),2016
9,"Thursday, 30 June",20:00 (IST),Match 10 - Completed ,Jaipur,Bengaluru,28  - 28,Match Tied,2016
10,"Friday, 01 July",20:00 (IST),Match 11 - Completed ,U,Dabang,27  - 25,U Mumba beat Dabang Delhi K.C. (27-25),2016
11,"Friday, 01 July",21:00 (IST),Match 12 - Completed ,Jaipur,Bengal,36  - 33,Jaipur Pink Panthers beat Bengal Warriors (36-33),2016
12,"Saturday, 02 July",20:00 (IST),Match 13 - Completed ,Dabang,Bengaluru,32  - 24,Dabang Delhi K.C. beat Bengaluru Bulls (32-24),2016
13,"Saturday, 02 July",21:00 (IST),Match 14 - Completed ,Jaipur,Puneri,28  - 33,Puneri Paltan beat Jaipur Pink Panthers (33-28),2016
14,"Sunday, 03 July",20:00 (IST),Match 15 - Completed ,Telugu,Patna,33  - 35,Patna Pirates beat Telugu Titans (35-33),2016
15,"Sunday, 03 July",21:00 (IST),Match 16 - Completed ,Bengal,U,18  - 26,U Mumba beat Bengal Warriors (26-18),2016
16,"Monday, 04 July",20:00 (IST),Match 17 - Completed ,Bengaluru,Puneri,29  - 27,Bengaluru Bulls beat Puneri Paltan (29-27),2016
17,"Monday, 04 July",21:00 (IST),Match 18 - Completed ,Telugu,Bengal,35  - 18,Telugu Titans beat Bengal Warriors (35-18),2016
18,"Tuesday, 05 July",20:00 (IST),Match 19 - Completed ,Telugu,Bengaluru,28  - 30,Bengaluru Bulls beat Telugu Titans (30-28),2016
19,"Wednesday, 06 July",20:00 (IST),Match 20 - Completed ,Dabang,Jaipur,26  - 51,Jaipur Pink Panthers beat Dabang Delhi K.C. (51-26),2016
20,"Wednesday, 06 July",21:00 (IST),Match 21 - Completed ,Telugu,U,35  - 30,Telugu Titans beat U Mumba (35-30),2016
21,"Thursday, 07 July",20:00 (IST),Match 22 - Completed ,Patna,Bengaluru,31  - 25,Patna Pirates beat Bengaluru Bulls (31-25),2016
22,"Friday, 08 July",20:00 (IST),Match 23 - Completed ,Bengaluru,U,23  - 24,U Mumba beat Bengaluru Bulls (24-23),2016
23,"Friday, 08 July",21:00 (IST),Match 24 - Completed ,Patna,Bengal,35  - 21,Patna Pirates beat Bengal Warriors (35-21),2016
24,"Saturday, 09 July",20:00 (IST),Match 25 - Completed ,Bengal,Puneri,31  - 38,Puneri Paltan beat Bengal Warriors (38-31),2016
25,"Saturday, 09 July",21:00 (IST),Match 26 - Completed ,Patna,Dabang,15  - 33,Dabang Delhi K.C. beat Patna Pirates (33-15),2016
26,"Sunday, 10 July",20:00 (IST),Match 27 - Completed ,Dabang,Telugu,23  - 28,Telugu Titans beat Dabang Delhi K.C. (28-23),2016
27,"Sunday, 10 July",21:00 (IST),Match 28 - Completed ,Patna,Jaipur,21  - 26,Jaipur Pink Panthers beat Patna Pirates (26-21),2016
28,"Tuesday, 12 July",20:00 (IST),Match 29 - Completed ,Bengaluru,Telugu,24  - 32,Telugu Titans beat Bengaluru Bulls (32-24),2016
29,"Tuesday, 12 July",21:00 (IST),Match 30 - Completed ,Puneri,Bengal,34  - 34,Match Tied,2016
30,"Wednesday, 13 July",20:00 (IST),Match 31 - Completed ,Bengaluru,Jaipur,22  - 24,Jaipur Pink Panthers beat Bengaluru Bulls (24-22),2016
31,"Thursday, 14 July",20:00 (IST),Match 32 - Completed ,Jaipur,U,23  - 29,U Mumba beat Jaipur Pink Panthers (29-23),2016
32,"Thursday, 14 July",21:00 (IST),Match 33 - Completed ,Bengaluru,Patna,23  - 38,Patna Pirates beat Bengaluru Bulls (38-23),2016
33,"Friday, 15 July",20:00 (IST),Match 34 - Completed ,Telugu,Puneri,32  - 29,Telugu Titans beat Puneri Paltan (32-29),2016
34,"Friday, 15 July",21:00 (IST),Match 35 - Completed ,Bengaluru,Dabang,20  - 40,Dabang Delhi K.C. beat Bengaluru Bulls (40-20),2016
35,"Saturday, 16 July",20:00 (IST),Match 36 - Completed ,Bengal,Jaipur,32  - 25,Bengal Warriors beat Jaipur Pink Panthers (32-25),2016
36,"Saturday, 16 July",21:00 (IST),Match 37 - Completed ,Patna,U,34  - 24,Patna Pirates beat U Mumba (34-24),2016
37,"Sunday, 17 July",20:00 (IST),Match 38 - Completed ,Puneri,Jaipur,27  - 33,Jaipur Pink Panthers beat Puneri Paltan (33-27),2016
38,"Sunday, 17 July",21:00 (IST),Match 39 - Completed ,Bengal,Patna,27  - 33,Patna Pirates beat Bengal Warriors (33-27),2016
39,"Monday, 18 July",20:00 (IST),Match 40 - Completed ,Bengal,Telugu,34  - 34,Match Tied,2016
40,"Tuesday, 19 July",20:00 (IST),Match 41 - Completed ,Telugu,Dabang,36  - 28,Telugu Titans beat Dabang Delhi K.C. (36-28),2016
41,"Tuesday, 19 July",21:00 (IST),Match 42 - Completed ,Bengal,Bengaluru,25  - 27,Bengaluru Bulls beat Bengal Warriors (27-25),2016
42,"Wednesday, 20 July",20:00 (IST),Match 43 - Completed ,U,Puneri,34  - 31,U Mumba beat Puneri Paltan (34-31),2016
43,"Thursday, 21 July",20:00 (IST),Match 44 - Completed ,Jaipur,Dabang,24  - 22,Jaipur Pink Panthers beat Dabang Delhi K.C. (24-22),2016
44,"Thursday, 21 July",21:00 (IST),Match 45 - Completed ,U,Telugu,25  - 25,Match Tied,2016
45,"Friday, 22 July",20:00 (IST),Match 46 - Completed ,Jaipur,Patna,29  - 22,Jaipur Pink Panthers beat Patna Pirates (29-22),2016
46,"Friday, 22 July",21:00 (IST),Match 47 - Completed ,U,Bengal,27  - 31,Bengal Warriors beat U Mumba (31-27),2016
47,"Saturday, 23 July",20:00 (IST),Match 48 - Completed ,Patna,Puneri,31  - 28,Patna Pirates beat Puneri Paltan (31-28),2016
48,"Saturday, 23 July",21:00 (IST),Match 49 - Completed ,U,Bengaluru,27  - 28,Bengaluru Bulls beat U Mumba (28-27),2016
49,"Sunday, 24 July",20:00 (IST),Match 50 - Completed ,Dabang,Bengal,41  - 20,Dabang Delhi K.C. beat Bengal Warriors (41-20),2016
50,"Sunday, 24 July",21:00 (IST),Match 51 - Completed ,Telugu,Jaipur,35  - 23,Telugu Titans beat Jaipur Pink Panthers (35-23),2016
51,"Monday, 25 July",20:00 (IST),Match 52 - Completed ,Dabang,Patna,31  - 32,Patna Pirates beat Dabang Delhi K.C. (32-31),2016
52,"Tuesday, 26 July",20:00 (IST),Match 53 - Completed ,Patna,Telugu,25  - 46,Telugu Titans beat Patna Pirates (46-25),2016
53,"Tuesday, 26 July",21:00 (IST),Match 54 - Completed ,Dabang,Puneri,34  - 39,Puneri Paltan beat Dabang Delhi K.C. (39-34),2016
54,"Wednesday, 27 July",20:00 (IST),Match 55 - Completed ,Puneri,Bengaluru,36  - 33,Puneri Paltan beat Bengaluru Bulls (36-33),2016
55,"Wednesday, 27 July",21:00 (IST),Match 56 - Completed ,Dabang,U,34  - 38,U Mumba beat Dabang Delhi K.C. (38-34),2016
56,"Friday, 29 July",20:00 (IST),Semi-Final 1 - Completed ,Patna,Puneri,37  - 33,Patna Pirates beat Puneri Paltan (37-33),2016
57,"Friday, 29 July",21:00 (IST),Semi-Final 2 - Completed ,Telugu,Jaipur,24  - 34,Jaipur Pink Panthers beat Telugu Titans (34-24),2016
58,"Sunday, 31 July",20:00 (IST),3/4 Place - Completed ,Telugu,Puneri,35  - 40,Puneri Paltan beat Telugu Titans (40-35),2016
59,"Sunday, 31 July",21:15 (IST),Final - Completed ,Patna,Jaipur,37  - 29,Patna Pirates beat Jaipur Pink Panthers (37-29),2016
0,"Saturday, 30 January",20:00 (IST),Match 1 - Completed ,Telugu,U,25  - 27,U Mumba beat Telugu Titans (27-25),2015
1,"Saturday, 30 January",21:00 (IST),Match 2 - Completed ,Dabang,Bengaluru,29  - 35,Bengaluru Bulls beat Dabang Delhi (35-29),2015
2,"Sunday, 31 January",20:00 (IST),Match 3 - Completed ,Jaipur,U,27  - 18,Jaipur Pink Panthers beat U Mumba (27-18),2015
3,"Sunday, 31 January",21:00 (IST),Match 4 - Completed ,Telugu,Puneri,27  - 26,Telugu Titans beat Puneri Paltan (27-26),2015
4,"Monday, 01 February",20:00 (IST),Match 5 - Completed ,Patna,Jaipur,29  - 28,Patna Pirates beat Jaipur Pink Panthers (29-28),2015
5,"Monday, 01 February",21:00 (IST),Match 6 - Completed ,Telugu,Dabang,45  - 34,Telugu Titans beat Dabang Delhi (45-34),2015
