,Date,Time,Status,Team 1,Team 2,Score,Result,Year
6,"Tuesday, 02 February",20:00 (IST),Match 7 - Completed ,Telugu,Bengal,17  - 25,Bengal Warriors beat Telugu Titans (25-17),2015
7,"Wednesday, 03 February",20:00 (IST),Match 8 - Completed ,Bengaluru,Patna,24  - 33,Patna Pirates beat Bengaluru Bulls (33-24),2015
8,"Wednesday, 03 February",21:00 (IST),Match 9 - Completed ,Dabang,Puneri,20  - 38,Puneri Paltan beat Dabang Delhi (38-20),2015
9,"Thursday, 04 February",20:00 (IST),Match 10 - Completed ,Bengaluru,Bengal,24  - 34,Bengal Warriors beat Bengaluru Bulls (34-24),2015
10,"Friday, 05 February",20:00 (IST),Match 11 - Completed ,Dabang,U,17  - 30,U Mumba beat Dabang Delhi (30-17),2015
11,"Friday, 05 February",21:00 (IST),Match 12 - Completed ,Bengaluru,Jaipur,36  - 26,Bengaluru Bulls beat Jaipur Pink Panthers (36-26),2015
12,"Saturday, 06 February",20:00 (IST),Match 13 - Completed ,U,Patna,26  - 40,Patna Pirates beat U Mumba (40-26),2015
13,"Saturday, 06 February",21:00 (IST),Match 14 - Completed ,Bengaluru,Telugu,26  - 35,Telugu Titans beat Bengaluru Bulls (35-26),2015
14,"Sunday, 07 February",20:00 (IST),Match 15 - Completed ,Bengal,Puneri,33  - 28,Bengal Warriors beat Puneri Paltan (33-28),2015
15,"Sunday, 07 February",21:00 (IST),Match 16 - Completed ,Jaipur,Dabang,39  - 34,Jaipur Pink Panthers beat Dabang Delhi (39-34),2015
16,"Monday, 08 February",20:00 (IST),Match 17 - Completed ,Patna,Telugu,29  - 25,Patna Pirates beat Telugu Titans (29-25),2015
17,"Monday, 08 February",21:00 (IST),Match 18 - Completed ,Bengal,Dabang,34  - 17,Bengal Warriors beat Dabang Delhi (34-17),2015
18,"Tuesday, 09 February",20:00 (IST),Match 19 - Completed ,Bengal,Patna,31  - 36,Patna Pirates beat Bengal Warriors (36-31),2015
19,"Wednesday, 10 February",20:00 (IST),Match 20 - Completed ,U,Bengaluru,29  - 28,U Mumba beat Bengaluru Bulls (29-28),2015
20,"Wednesday, 10 February",21:00 (IST),Match 21 - Completed ,Bengal,Jaipur,34  - 20,Bengal Warriors beat Jaipur Pink Panthers (34-20),2015
21,"Thursday, 11 February",20:00 (IST),Match 22 - Completed ,Puneri,Patna,30  - 30,Match Tied,2015
22,"Friday, 12 February",20:00 (IST),Match 23 - Completed ,Patna,Dabang,47  - 34,Patna Pirates beat Dabang Delhi (47-34),2015
23,"Friday, 12 February",21:00 (IST),Match 24 - Completed ,Puneri,Jaipur,32  - 32,Match Tied,2015
24,"Saturday, 13 February",20:00 (IST),Match 25 - Completed ,Jaipur,Telugu,25  - 27,Telugu Titans beat Jaipur Pink Panthers (27-25),2015
25,"Saturday, 13 February",21:00 (IST),Match 26 - Completed ,Puneri,U,27  - 29,U Mumba beat Puneri Paltan (29-27),2015
26,"Sunday, 14 February",20:00 (IST),Match 27 - Completed ,U,Bengal,32  - 21,U Mumba beat Bengal Warriors (32-21),2015
27,"Sunday, 14 February",21:00 (IST),Match 28 - Completed ,Puneri,Bengaluru,29  - 27,Puneri Paltan beat Bengaluru Bulls (29-27),2015
28,"Tuesday, 16 February",20:00 (IST),Match 29 - Completed ,Patna,Bengal,32  - 27,Patna Pirates beat Bengal Warriors (32-27),2015
29,"Tuesday, 16 February",21:30 (IST),Match 30 - Completed ,Telugu,Jaipur,26  - 35,Jaipur Pink Panthers beat Telugu Titans (35-26),2015
30,"Wednesday, 17 February",20:00 (IST),Match 31 - Completed ,Patna,Bengaluru,36  - 32,Patna Pirates beat Bengaluru Bulls (36-32),2015
31,"Thursday, 18 February",20:00 (IST),Match 32 - Completed ,Bengaluru,Dabang,21  - 35,Dabang Delhi beat Bengaluru Bulls (35-21),2015
32,"Thursday, 18 February",21:00 (IST),Match 33 - Completed ,Patna,Puneri,28  - 28,Match Tied,2015
33,"Friday, 19 February",20:00 (IST),Match 34 - Completed ,Bengal,Telugu,32  - 28,Bengal Warriors beat Telugu Titans (32-28),2015
34,"Friday, 19 February",21:00 (IST),Match 35 - Completed ,Patna,U,28  - 34,U Mumba beat Patna Pirates (34-28),2015
35,"Saturday, 20 February",20:00 (IST),Match 36 - Completed ,Jaipur,Bengaluru,30  - 21,Jaipur Pink Panthers beat Bengaluru Bulls (30-21),2015
36,"Saturday, 20 February",21:00 (IST),Match 37 - Completed ,Puneri,Dabang,32  - 22,Puneri Paltan beat Dabang Delhi (32-22),2015
37,"Sunday, 21 February",20:00 (IST),Match 38 - Completed ,Telugu,Bengaluru,40  - 22,Telugu Titans beat Bengaluru Bulls (40-22),2015
38,"Sunday, 21 February",21:00 (IST),Match 39 - Completed ,Jaipur,Puneri,18  - 33,Puneri Paltan beat Jaipur Pink Panthers (33-18),2015
39,"Monday, 22 February",20:00 (IST),Match 40 - Completed ,Jaipur,Bengal,18  - 34,Bengal Warriors beat Jaipur Pink Panthers (34-18),2015
40,"Tuesday, 23 February",20:00 (IST),Match 41 - Completed ,Bengal,U,17  - 30,U Mumba beat Bengal Warriors (30-17),2015
41,"Tuesday, 23 February",21:00 (IST),Match 42 - Completed ,Jaipur,Patna,24  - 47,Patna Pirates beat Jaipur Pink Panthers (47-24),2015
42,"Wednesday, 24 February",20:00 (IST),Match 43 - Completed ,Dabang,Telugu,36  - 44,Telugu Titans beat Dabang Delhi (44-36),2015
43,"Thursday, 25 February",20:00 (IST),Match 44 - Completed ,Bengaluru,U,18  - 39,U Mumba beat Bengaluru Bulls (39-18),2015
44,"Thursday, 25 February",21:00 (IST),Match 45 - Completed ,Dabang,Patna,34  - 67,Patna Pirates beat Dabang Delhi (67-34),2015
45,"Friday, 26 February",20:00 (IST),Match 46 - Completed ,Puneri,Telugu,41  - 24,Puneri Paltan beat Telugu Titans (41-24),2015
46,"Friday, 26 February",21:00 (IST),Match 47 - Completed ,Dabang,Jaipur,21  - 21,Match Tied,2015
47,"Saturday, 27 February",20:00 (IST),Match 48 - Completed ,Bengaluru,Puneri,27  - 44,Puneri Paltan beat Bengaluru Bulls (44-27),2015
48,"Saturday, 27 February",21:00 (IST),Match 49 - Completed ,Dabang,Bengal,31  - 37,Bengal Warriors beat Dabang Delhi (37-31),2015
49,"Sunday, 28 February",20:00 (IST),Match 50 - Completed ,U,Jaipur,35  - 21,U Mumba beat Jaipur Pink Panthers (35-21),2015
50,"Sunday, 28 February",21:00 (IST),Match 51 - Completed ,Telugu,Patna,42  - 41,Telugu Titans beat Patna Pirates (42-41),2015
51,"Monday, 29 February",20:00 (IST),Match 52 - Completed ,U,Puneri,30  - 27,U Mumba beat Puneri Paltan (30-27),2015
52,"Tuesday, 01 March",20:00 (IST),Match 53 - Completed ,Bengal,Bengaluru,26  - 22,Bengal Warriors beat Bengaluru Bulls (26-22),2015
53,"Tuesday, 01 March",21:00 (IST),Match 54 - Completed ,U,Telugu,38  - 22,U Mumba beat Telugu Titans (38-22),2015
54,"Wednesday, 02 March",20:00 (IST),Match 55 - Completed ,Puneri,Bengal,43  - 19,Puneri Paltan beat Bengal Warriors (43-19),2015
55,"Wednesday, 02 March",21:00 (IST),Match 56 - Completed ,U,Dabang,36  - 20,U Mumba beat Dabang Delhi (36-20),2015
56,"Friday, 04 March",20:00 (IST),Semi-Final 1 - Completed ,Patna,Puneri,40  - 21,Patna Pirates beat Puneri Paltan (40-21),2015
57,"Friday, 04 March",21:00 (IST),Semi-Final 2 - Completed ,U,Bengal,41  - 29,U Mumba beat Bengal Warriors (41-29),2015
58,"Saturday, 05 March",20:00 (IST),3/4 Place - Completed ,Bengal,Puneri,27  - 31,Puneri Paltan beat Bengal Warriors (31-27),2015
59,"Saturday, 05 March",21:00 (IST),Final - Completed ,U,Patna,28  - 31,Patna Pirates beat U Mumba (31-28),2015
0,"Saturday, 18 July",20:00 (IST),Match 1 - Completed ,U,Jaipur,29  - 28,U Mumba beat Jaipur Pink Panthers (29-28),2014
1,"Saturday, 18 July",21:00 (IST),Match 2 - Completed ,Bengaluru,Bengal,33  - 25,Bengaluru Bulls beat Bengal Warriors (33-25),2014
2,"Sunday, 19 July",20:00 (IST),Match 3 - Completed ,Telugu,Dabang,36  - 27,Telugu Titans beat Dabang Delhi (36-27),2014
3,"Sunday, 19 July",21:00 (IST),Match 4 - Completed ,U,Bengaluru,36  - 23,U Mumba beat Bengaluru Bulls (36-23),2014
4,"Monday, 20 July",20:00 (IST),Match 5 - Completed ,Puneri,Telugu,24  - 45,Telugu Titans beat Puneri Paltan (45-24),2014
5,"Monday, 20 July",21:00 (IST),Match 6 - Completed ,U,Patna,25  - 20,U Mumba beat Patna Pirates (25-20),2014
6,"Tuesday, 21 July",20:00 (IST),Match 7 - Completed ,U,Puneri,28  - 21,U Mumba beat Puneri Paltan (28-21),2014
7,"Wednesday, 22 July",20:00 (IST),Match 8 - Completed ,Bengal,Jaipur,28  - 26,Bengal Warriors beat Jaipur Pink Panthers (28-26),2014
8,"Wednesday, 22 July",21:00 (IST),Match 9 - Completed ,Bengaluru,Patna,31  - 26,Bengaluru Bulls beat Patna Pirates (31-26),2014
9,"Thursday, 23 July",20:00 (IST),Match 10 - Completed ,Bengal,Telugu,30  - 32,Telugu Titans beat Bengal Warriors (32-30),2014
10,"Friday, 24 July",20:00 (IST),Match 11 - Completed ,Dabang,Puneri,38  - 37,Dabang Delhi beat Puneri Paltan (38-37),2014
11,"Friday, 24 July",21:00 (IST),Match 12 - Completed ,Bengal,U,25  - 29,U Mumba beat Bengal Warriors (29-25),2014
12,"Saturday, 25 July",20:00 (IST),Match 13 - Completed ,Bengaluru,Puneri,31  - 26,Bengaluru Bulls beat Puneri Paltan (31-26),2014
13,"Saturday, 25 July",21:00 (IST),Match 14 - Completed ,Bengal,Dabang,21  - 32,Dabang Delhi beat Bengal Warriors (32-21),2014
14,"Sunday, 26 July",20:00 (IST),Match 15 - Completed ,Jaipur,Patna,23  - 29,Patna Pirates beat Jaipur Pink Panthers (29-23),2014
15,"Sunday, 26 July",21:00 (IST),Match 16 - Completed ,Telugu,U,26  - 27,U Mumba beat Telugu Titans (27-26),2014
16,"Monday, 27 July",20:00 (IST),Match 17 - Completed ,Dabang,Bengaluru,18  - 33,Bengaluru Bulls beat Dabang Delhi (33-18),2014
17,"Monday, 27 July",21:00 (IST),Match 18 - Completed ,Jaipur,Telugu,22  - 33,Telugu Titans beat Jaipur Pink Panthers (33-22),2014
18,"Tuesday, 28 July",20:00 (IST),Match 19 - Completed ,Jaipur,Bengaluru,36  - 23,Jaipur Pink Panthers beat Bengaluru Bulls (36-23),2014
19,"Wednesday, 29 July",20:00 (IST),Match 20 - Completed ,Puneri,Bengal,33  - 29,Puneri Paltan beat Bengal Warriors (33-29),2014
20,"Wednesday, 29 July",21:00 (IST),Match 21 - Completed ,Jaipur,Dabang,27  - 35,Dabang Delhi beat Jaipur Pink Panthers (35-27),2014
21,"Thursday, 30 July",20:00 (IST),Match 22 - Completed ,Patna,Telugu,22  - 34,Telugu Titans beat Patna Pirates (34-22),2014
22,"Friday, 31 July",20:00 (IST),Match 23 - Completed ,Telugu,Bengaluru,21  - 35,Bengaluru Bulls beat Telugu Titans (35-21),2014
23,"Friday, 31 July",21:00 (IST),Match 24 - Completed ,Patna,Dabang,39  - 22,Patna Pirates beat Dabang Delhi (39-22),2014
24,"Saturday, 01 August",20:00 (IST),Match 25 - Completed ,Dabang,U,22  - 27,U Mumba beat Dabang Delhi (27-22),2014
25,"Saturday, 01 August",21:00 (IST),Match 26 - Completed ,Patna,Puneri,32  - 28,Patna Pirates beat Puneri Paltan (32-28),2014
26,"Sunday, 02 August",20:00 (IST),Match 27 - Completed ,Puneri,Jaipur,29  - 35,Jaipur Pink Panthers beat Puneri Paltan (35-29),2014
27,"Sunday, 02 August",21:00 (IST),Match 28 - Completed ,Patna,Bengal,20  - 20,Match Tied,2014
28,"Tuesday, 04 August",20:00 (IST),Match 29 - Completed ,Telugu,Jaipur,39  - 39,Match Tied,2014
29,"Tuesday, 04 August",21:00 (IST),Match 30 - Completed ,U,Dabang,29  - 25,U Mumba beat Dabang Delhi (29-25),2014
30,"Wednesday, 05 August",20:00 (IST),Match 31 - Completed ,Telugu,Bengal,44  - 28,Telugu Titans beat Bengal Warriors (44-28),2014
31,"Thursday, 06 August",20:00 (IST),Match 32 - Completed ,Bengal,Bengaluru,22  - 33,Bengaluru Bulls beat Bengal Warriors (33-22),2014
32,"Thursday, 06 August",21:00 (IST),Match 33 - Completed ,Telugu,Patna,54  - 32,Telugu Titans beat Patna Pirates (54-32),2014
33,"Friday, 07 August",20:00 (IST),Match 34 - Completed ,Jaipur,U,35  - 25,Jaipur Pink Panthers beat U Mumba (35-25),2014
34,"Friday, 07 August",21:00 (IST),Match 35 - Completed ,Telugu,Puneri,29  - 29,Match Tied,2014
35,"Saturday, 08 August",20:00 (IST),Match 36 - Completed ,Dabang,Bengal,17  - 20,Bengal Warriors beat Dabang Delhi (20-17),2014
36,"Saturday, 08 August",21:00 (IST),Match 37 - Completed ,Patna,Bengaluru,30  - 28,Patna Pirates beat Bengaluru Bulls (30-28),2014
37,"Sunday, 09 August",20:00 (IST),Match 38 - Completed ,U,Bengal,31  - 17,U Mumba beat Bengal Warriors (31-17),2014
38,"Sunday, 09 August",21:00 (IST),Match 39 - Completed ,Dabang,Patna,45  - 26,Dabang Delhi beat Patna Pirates (45-26),2014
39,"Monday, 10 August",20:00 (IST),Match 40 - Completed ,Dabang,Jaipur,21  - 51,Jaipur Pink Panthers beat Dabang Delhi (51-21),2014
40,"Tuesday, 11 August",20:00 (IST),Match 41 - Completed ,Jaipur,Puneri,31  - 18,Jaipur Pink Panthers beat Puneri Paltan (31-18),2014
41,"Tuesday, 11 August",21:00 (IST),Match 42 - Completed ,Dabang,Telugu,45  - 45,Match Tied,2014
42,"Wednesday, 12 August",20:00 (IST),Match 43 - Completed ,Bengaluru,U,29  - 36,U Mumba beat Bengaluru Bulls (36-29),2014
43,"Thursday, 13 August",20:00 (IST),Match 44 - Completed ,Bengal,Puneri,31  - 28,Bengal Warriors beat Puneri Paltan (31-28),2014
44,"Thursday, 13 August",21:00 (IST),Match 45 - Completed ,Bengaluru,Jaipur,25  - 27,Jaipur Pink Panthers beat Bengaluru Bulls (27-25),2014
45,"Friday, 14 August",20:00 (IST),Match 46 - Completed ,Bengal,Patna,32  - 34,Patna Pirates beat Bengal Warriors (34-32),2014
46,"Friday, 14 August",21:00 (IST),Match 47 - Completed ,Bengaluru,Dabang,40  - 21,Bengaluru Bulls beat Dabang Delhi (40-21),2014
47,"Saturday, 15 August",20:00 (IST),Match 48 - Completed ,Patna,U,27  - 32,U Mumba beat Patna Pirates (32-27),2014
48,"Saturday, 15 August",21:00 (IST),Match 49 - Completed ,Bengaluru,Telugu,43  - 29,Bengaluru Bulls beat Telugu Titans (43-29),2014
49,"Sunday, 16 August",20:00 (IST),Match 50 - Completed ,Puneri,Dabang,33  - 28,Puneri Paltan beat Dabang Delhi (33-28),2014
50,"Sunday, 16 August",21:00 (IST),Match 51 - Completed ,Jaipur,Bengal,38  - 39,Bengal Warriors beat Jaipur Pink Panthers (39-38),2014
51,"Monday, 17 August",20:00 (IST),Match 52 - Completed ,Puneri,U,34  - 39,U Mumba beat Puneri Paltan (39-34),2014
52,"Tuesday, 18 August",20:00 (IST),Match 53 - Completed ,U,Telugu,25  - 46,Telugu Titans beat U Mumba (46-25),2014
53,"Tuesday, 18 August",21:00 (IST),Match 54 - Completed ,Puneri,Patna,21  - 38,Patna Pirates beat Puneri Paltan (38-21),2014
54,"Wednesday, 19 August",20:00 (IST),Match 55 - Completed ,Patna,Jaipur,26  - 24,Patna Pirates beat Jaipur Pink Panthers (26-24),2014
55,"Wednesday, 19 August",21:00 (IST),Match 56 - Completed ,Puneri,Bengaluru,30  - 31,Bengaluru Bulls beat Puneri Paltan (31-30),2014
56,"Friday, 21 August",20:00 (IST),Semi-Final 1 - Completed ,Telugu,Bengaluru,38  - 39,Bengaluru Bulls beat Telugu Titans (39-38),2014
57,"Friday, 21 August",21:00 (IST),Semi-Final 2 - Completed ,U,Patna,35  - 18,U Mumba beat Patna Pirates (35-18),2014
58,"Sunday, 23 August",20:00 (IST),3/4 Place - Completed ,Patna,Telugu,26  - 34,Telugu Titans beat Patna Pirates (34-26),2014
59,"Sunday, 23 August",21:00 (IST),Final - Completed ,U,Bengaluru,36  - 30,U Mumba beat Bengaluru Bulls (36-30),2014
0,"Saturday, 26 July",20:00 (IST),Match 1 - Completed ,U,Jaipur,45  - 31,U Mumba beat Jaipur Pink Panthers (45 - 31),2013
1,"Saturday, 26 July",21:00 (IST),Match 2 - Completed ,Dabang,Bengaluru,28  - 47,Bengaluru Bulls beat Dabang Delhi (47 - 28),2013
2,"Sunday, 27 July",20:00 (IST),Match 3 - Completed ,Bengaluru,Puneri,40  - 37,Bengaluru Bulls beat Puneri Paltan (40 - 37),2013
3,"Sunday, 27 July",21:00 (IST),Match 4 - Completed ,U,Bengal,36  - 25,U Mumba beat Bengal Warriors (36 - 25),2013
4,"Monday, 28 July",20:00 (IST),Match 5 - Completed ,Puneri,Dabang,31  - 35,Dabang Delhi beat Puneri Paltan (35 - 31),2013
5,"Monday, 28 July",21:00 (IST),Match 6 - Completed ,U,Telugu,35  - 35,Match Drawn (35 - 35),2013
6,"Tuesday, 29 July",20:00 (IST),Match 7 - Completed ,U,Patna,36  - 33,U Mumba beat Patna Pirates (36 - 33),2013
7,"Wednesday, 30 July",05:30 (IST),Match 8 - Completed ,Bengal,Bengaluru,30  - 46,Bengaluru Bulls beat Bengal Warriors (46 - 30),2013
8,"Thursday, 31 July",05:30 (IST),Match 9 - Completed ,Jaipur,Telugu,46  - 32,Jaipur Pink Panthers beat Telugu Titans (46 - 32),2013
9,"Thursday, 31 July",05:30 (IST),Match 10 - Completed ,Bengal,Dabang,42  - 40,Bengal Warriors beat Dabang Delhi (42 - 40),2013
10,"Friday, 01 August",05:30 (IST),Match 11 - Completed ,Telugu,Patna,35  - 38,Patna Pirates beat Telugu Titans (38 - 35),2013
11,"Friday, 01 August",05:30 (IST),Match 12 - Completed ,Bengal,Puneri,38  - 35,Bengal Warriors beat Puneri Paltan (38 - 35),2013
12,"Saturday, 02 August",05:30 (IST),Match 13 - Completed ,Patna,Jaipur,18  - 40,Jaipur Pink Panthers beat Patna Pirates (40 - 18),2013
13,"Saturday, 02 August",05:30 (IST),Match 14 - Completed ,Bengal,U,29  - 38,U Mumba beat Bengal Warriors (38 - 29),2013
14,"Sunday, 03 August",05:30 (IST),Match 15 - Completed ,Dabang,Telugu,35  - 39,Telugu Titans beat Dabang Delhi (39 - 35),2013
15,"Sunday, 03 August",05:30 (IST),Match 16 - Completed ,Puneri,Bengaluru,33  - 31,Puneri Paltan beat Bengaluru Bulls (33 - 31),2013
16,"Monday, 04 August",05:30 (IST),Match 17 - Completed ,U,Puneri,44  - 28,U Mumba beat Puneri Paltan (44 - 28),2013
17,"Monday, 04 August",05:30 (IST),Match 18 - Completed ,Dabang,Patna,31  - 36,Patna Pirates beat Dabang Delhi (36 - 31),2013
18,"Tuesday, 05 August",05:30 (IST),Match 19 - Completed ,Bengaluru,U,34  - 45,U Mumba beat Bengaluru Bulls (45 - 34),2013
19,"Tuesday, 05 August",05:30 (IST),Match 20 - Completed ,Dabang,Jaipur,31  - 40,Jaipur Pink Panthers beat Dabang Delhi (40 - 31),2013
20,"Wednesday, 06 August",05:30 (IST),Match 21 - Completed ,Dabang,Bengal,46  - 36,Dabang Delhi beat Bengal Warriors (46 - 36),2013
21,"Thursday, 07 August",05:30 (IST),Match 22 - Completed ,Patna,Puneri,35  - 27,Patna Pirates beat Puneri Paltan (35 - 27),2013
22,"Friday, 08 August",05:30 (IST),Match 23 - Completed ,Bengal,Telugu,40  - 35,Bengal Warriors beat Telugu Titans (40 - 35),2013
23,"Friday, 08 August",05:30 (IST),Match 24 - Completed ,Patna,U,37  - 37,Match Drawn (37 - 37),2013
24,"Saturday, 09 August",05:30 (IST),Match 25 - Completed ,Telugu,Jaipur,29  - 49,Jaipur Pink Panthers beat Telugu Titans (49 - 29),2013
25,"Saturday, 09 August",05:30 (IST),Match 26 - Completed ,Patna,Dabang,30  - 30,Match Drawn (30 - 30),2013
26,"Sunday, 10 August",05:30 (IST),Match 27 - Completed ,Jaipur,Bengal,39  - 23,Jaipur Pink Panthers beat Bengal Warriors (39 - 23),2013
27,"Sunday, 10 August",05:30 (IST),Match 28 - Completed ,Patna,Bengaluru,35  - 37,Bengaluru Bulls beat Patna Pirates (37 - 35),2013
28,"Tuesday, 12 August",05:30 (IST),Match 29 - Completed ,Puneri,Telugu,36  - 42,Telugu Titans beat Puneri Paltan (42 - 36),2013
29,"Wednesday, 13 August",05:30 (IST),Match 30 - Completed ,U,Bengaluru,30  - 33,Bengaluru Bulls beat U Mumba (33 - 30),2013
30,"Wednesday, 13 August",05:30 (IST),Match 31 - Completed ,Puneri,Bengal,40  - 30,Puneri Paltan beat Bengal Warriors (40 - 30),2013
31,"Thursday, 14 August",05:30 (IST),Match 32 - Completed ,Bengaluru,Dabang,27  - 29,Dabang Delhi beat Bengaluru Bulls (29 - 27),2013
32,"Thursday, 14 August",05:30 (IST),Match 33 - Completed ,Puneri,Jaipur,23  - 50,Jaipur Pink Panthers beat Puneri Paltan (50 - 23),2013
33,"Friday, 15 August",05:30 (IST),Match 34 - Completed ,Dabang,U,36  - 27,Dabang Delhi beat U Mumba (36 - 27),2013
34,"Friday, 15 August",05:30 (IST),Match 35 - Completed ,Puneri,Patna,31  - 37,Patna Pirates beat Puneri Paltan (37 - 31),2013
35,"Saturday, 16 August",05:30 (IST),Match 36 - Completed ,Telugu,Bengaluru,28  - 28,Match Drawn (28 - 28),2013
36,"Saturday, 16 August",05:30 (IST),Match 37 - Completed ,Bengal,Jaipur,33  - 41,Jaipur Pink Panthers beat Bengal Warriors (41 - 33),2013
37,"Sunday, 17 August",05:30 (IST),Match 38 - Completed ,Jaipur,Patna,30  - 52,Patna Pirates beat Jaipur Pink Panthers (52 - 30),2013
38,"Sunday, 17 August",05:30 (IST),Match 39 - Completed ,Telugu,U,44  - 43,Telugu Titans beat U Mumba (44 - 43),2013
39,"Monday, 18 August",05:30 (IST),Match 40 - Completed ,Patna,Bengal,28  - 30,Bengal Warriors beat Patna Pirates (30 - 28),2013
40,"Monday, 18 August",05:30 (IST),Match 41 - Completed ,Telugu,Puneri,60  - 24,Telugu Titans beat Puneri Paltan (60 - 24),2013
41,"Tuesday, 19 August",05:30 (IST),Match 42 - Completed ,Telugu,Dabang,45  - 26,Telugu Titans beat Dabang Delhi (45 - 26),2013
42,"Wednesday, 20 August",05:30 (IST),Match 43 - Completed ,Jaipur,Bengaluru,36  - 31,Jaipur Pink Panthers beat Bengaluru Bulls (36 - 31),2013
43,"Thursday, 21 August",05:30 (IST),Match 44 - Completed ,Bengal,Patna,32  - 36,Patna Pirates beat Bengal Warriors (36 - 32),2013
44,"Thursday, 21 August",05:30 (IST),Match 45 - Completed ,Jaipur,U,31  - 31,Match Drawn (31 - 31),2013
45,"Friday, 22 August",05:30 (IST),Match 46 - Completed ,Telugu,Bengal,34  - 34,Match Drawn (34 - 34),2013
46,"Friday, 22 August",05:30 (IST),Match 47 - Completed ,Jaipur,Dabang,41  - 31,Jaipur Pink Panthers beat Dabang Delhi (41 - 31),2013
47,"Saturday, 23 August",05:30 (IST),Match 48 - Completed ,Patna,Telugu,29  - 32,Telugu Titans beat Patna Pirates (32 - 29),2013
48,"Saturday, 23 August",05:30 (IST),Match 49 - Completed ,Jaipur,Puneri,33  - 27,Jaipur Pink Panthers beat Puneri Paltan (33 - 27),2013
49,"Sunday, 24 August",05:30 (IST),Match 50 - Completed ,Bengaluru,Bengal,37  - 24,Bengaluru Bulls beat Bengal Warriors (37 - 24),2013
50,"Sunday, 24 August",05:30 (IST),Match 51 - Completed ,U,Dabang,37  - 30,U Mumba beat Dabang Delhi (37 - 30),2013
51,"Monday, 25 August",05:30 (IST),Match 52 - Completed ,Dabang,Puneri,45  - 22,Dabang Delhi beat Puneri Paltan (45 - 22),2013
52,"Monday, 25 August",05:30 (IST),Match 53 - Completed ,Bengaluru,Patna,31  - 33,Patna Pirates beat Bengaluru Bulls (33 - 31),2013
53,"Tuesday, 26 August",05:30 (IST),Match 54 - Completed ,Bengaluru,Telugu,27  - 26,Bengaluru Bulls beat Telugu Titans (27 - 26),2013
54,"Wednesday, 27 August",05:30 (IST),Match 55 - Completed ,Puneri,U,35  - 36,U Mumba beat Puneri Paltan (36 - 35),2013
55,"Wednesday, 27 August",05:30 (IST),Match 56 - Completed ,Bengaluru,Jaipur,30  - 29,Bengaluru Bulls beat Jaipur Pink Panthers (30 - 29),2013
56,"Friday, 29 August",05:30 (IST),Semi-Final 1 - Completed ,Jaipur,Patna,38  - 18,Jaipur Pink Panthers beat Patna Pirates (38 - 18),2013
57,"Friday, 29 August",05:30 (IST),Semi-Final 2 - Completed ,U,Bengaluru,27  - 23,U Mumba beat Bengaluru Bulls (27 - 23),2013
58,"Sunday, 31 August",05:30 (IST),3rd Place Playoff - Completed ,Patna,Bengaluru,29  - 22,Patna Pirates beat Bengaluru Bulls (29 - 22),2013
59,"Sunday, 31 August",05:30 (IST),Final - Completed ,Jaipur,U,35  - 24,Jaipur Pink Panthers beat U Mumba (35 - 24),2013
