,Year,Matches Played,wins,draws,losses,Finishing Position,highest score,Biggest Winning Margin,Team,Points,If_Qualified to next round,All Outs Conceded,All Out Inflicted,Avg Raid Points,Avg Tackle Points,Avg Points Scored,Do or Die Raid Points,Raid Points,Successful Raids,Successful Tackles,Super Raids,Super Tackles,Tackle Points,Total Points Scored,Total Points Conceded,Won in Final
5,2013,14,4,1,9,7,42,5,Bengal Warriors,24,0,25,11,20.21,8.71,28.92,30,283,213,106,11,16,122,430,515,0
14,2014,14,4,1,9,6,39,3,Bengal Warriors,27,0,17,10,13.14,9.71,22.85,59,184,134,116,9,21,136,367,430,0
23,2015,16,9,0,7,4,37,17,Bengal Warriors,47,1,18,17,15.63,9.38,25.0,70,250,213,137,4,13,150,460,449,0
24,2016,14,3,2,9,8,34,8,Bengal Warriors,26,0,15,11,14.43,8.93,23.35,62,202,167,117,4,8,125,378,438,0
41,2017,24,11,6,7,1,44,20,Bengal Warriors,77,1,29,27,18.96,8.04,27.0,87,455,379,181,11,12,193,749,757,0
54,2018,23,12,2,9,2,44,16,Bengal Warriors,69,1,23,23,18.96,8.7,27.65,85,436,340,186,16,16,200,725,734,0
7,2013,16,8,1,7,3,47,19,Bengaluru Bulls,47,1,15,20,18.19,10.19,28.37,40,291,225,153,7,10,163,498,479,0
15,2014,16,10,0,6,3,43,19,Bengaluru Bulls,48,1,16,25,15.75,10.25,26.0,80,252,194,158,10,7,164,508,457,0
21,2015,14,2,0,12,7,36,10,Bengaluru Bulls,14,0,21,12,14.93,7.14,22.07,69,209,158,94,9,7,100,362,467,0
27,2016,14,5,1,8,6,33,2,Bengaluru Bulls,32,0,21,9,14.36,8.86,23.21,59,201,157,109,4,15,124,360,415,0
35,2017,22,8,3,11,4,64,40,Bengaluru Bulls,57,0,25,28,17.86,9.09,26.95,93,393,336,185,5,17,200,689,679,0
46,2018,24,15,2,7,1,48,16,Bengaluru Bulls,78,1,24,37,22.79,9.58,32.37,73,547,431,219,20,12,230,887,766,1
0,2013,14,5,1,8,6,46,23,Dabang Delhi K.C.,32,0,23,18,20.36,9.57,29.92,31,285,246,124,5,10,134,456,471,0
8,2014,14,4,1,9,6,45,19,Dabang Delhi K.C.,27,0,20,13,15.5,9.71,25.21,61,217,159,122,14,14,136,396,464,0
17,2015,14,1,1,12,8,36,14,Dabang Delhi K.C.,11,0,28,9,16.64,7.93,24.57,54,233,171,98,5,13,111,384,525,0
29,2016,14,4,1,9,7,41,21,Dabang Delhi K.C.,29,0,16,15,16.14,9.57,25.71,84,226,162,116,11,20,134,419,412,0
42,2017,22,5,1,16,6,38,8,Dabang Delhi K.C.,38,0,35,18,15.64,7.68,23.31,94,344,283,159,6,12,169,598,731,0
49,2018,24,12,2,10,3,48,13,Dabang Delhi K.C.,68,1,28,34,20.13,9.0,29.12,73,483,401,198,13,19,216,822,824,0
34,2017,24,16,3,5,1,45,25,Gujarat Fortunegiants,87,1,17,36,16.88,10.58,27.45,98,405,335,242,11,12,254,775,641,0
51,2018,25,18,2,5,1,47,18,Gujarat Fortunegiants,93,1,20,36,19.2,10.96,30.16,74,480,392,258,10,18,274,876,769,0
40,2017,23,13,4,6,3,42,18,Haryana Steelers,79,1,23,27,17.57,9.87,27.43,105,404,327,206,12,21,227,727,726,0
53,2018,22,6,2,14,6,43,11,Haryana Steelers,42,0,33,16,20.32,8.77,29.09,45,447,361,180,12,15,193,715,806,0
3,2013,16,12,1,3,1,50,27,Jaipur Pink Panthers,54,1,15,29,21.5,10.63,32.12,50,344,270,158,9,12,170,579,458,1
12,2014,14,6,1,7,5,51,30,Jaipur Pink Panthers,38,0,12,17,16.57,10.14,26.71,47,232,183,124,5,18,142,442,399,0
22,2015,14,4,2,8,6,39,9,Jaipur Pink Panthers,28,0,22,11,13.79,8.36,22.14,59,193,149,101,8,16,117,364,427,0
25,2016,16,9,1,6,3,51,25,Jaipur Pink Panthers,47,1,14,17,16.88,8.44,25.31,80,270,203,119,6,17,135,475,450,0
32,2017,22,8,1,13,5,39,11,Jaipur Pink Panthers,51,0,27,22,16.05,7.77,23.81,83,353,288,162,13,10,171,631,723,0
47,2018,22,6,3,13,5,45,17,Jaipur Pink Panthers,43,0,32,22,18.86,10.23,29.09,75,415,334,202,13,25,225,711,780,0
4,2013,16,8,2,6,4,52,22,Patna Pirates,45,1,17,18,19.75,8.88,28.62,42,316,253,124,13,18,142,504,487,0
10,2014,16,7,1,8,4,39,17,Patna Pirates,41,1,21,13,14.25,10.25,24.5,60,228,182,152,4,13,164,444,489,0
20,2015,16,12,2,2,2,67,33,Patna Pirates,58,1,13,30,20.25,11.38,31.62,74,324,241,175,16,7,182,594,468,1
31,2016,16,12,0,4,1,38,15,Patna Pirates,52,1,12,19,16.5,10.69,27.18,73,264,206,145,7,27,171,492,466,1
38,2017,26,14,5,7,2,69,39,Patna Pirates,71,1,29,55,24.5,9.69,34.19,95,637,487,226,26,27,252,1050,921,1
52,2018,22,9,2,11,4,53,20,Patna Pirates,55,0,30,30,22.55,9.14,31.68,54,496,406,186,11,16,201,799,835,0
1,2013,14,2,0,12,8,40,10,Puneri Paltan,17,0,26,12,19.21,7.64,26.85,48,269,204,93,11,14,107,405,536,0
11,2014,14,2,1,11,8,37,5,Puneri Paltan,21,0,21,12,15.93,8.14,24.07,56,223,170,104,8,11,114,391,465,0
18,2015,16,8,3,5,3,44,24,Puneri Paltan,48,1,13,25,15.69,11.69,27.37,87,251,203,174,9,13,187,510,433,0
30,2016,16,7,2,7,4,41,22,Puneri Paltan,42,1,17,21,18.13,9.13,27.25,77,290,230,140,10,7,146,515,491,0
39,2017,24,16,0,8,2,47,23,Puneri Paltan,80,1,23,32,15.79,11.29,27.08,119,379,304,252,12,21,271,766,683,0
45,2018,22,8,2,12,4,45,18,Puneri Paltan,52,0,29,14,15.73,9.95,25.68,71,346,286,189,7,34,219,649,694,0
36,2017,22,6,2,14,6,40,5,Tamil Thalaivas,46,0,31,19,18.64,9.14,27.77,89,410,351,184,5,17,201,681,752,0
44,2018,22,5,4,13,6,46,22,Tamil Thalaivas,42,0,27,20,19.05,8.59,27.63,67,419,344,174,7,15,189,671,741,0
6,2013,14,6,3,5,5,60,36,Telugu Titans,42,0,14,25,24.0,7.43,31.42,31,336,272,96,8,8,104,497,474,0
13,2014,16,9,3,4,2,54,22,Telugu Titans,50,1,15,26,21.5,10.75,32.25,66,344,265,158,16,16,172,586,493,0
16,2015,14,7,0,7,5,45,18,Telugu Titans,38,0,17,13,18.14,8.29,26.42,44,254,206,101,3,15,116,427,437,0
28,2016,16,8,2,6,2,46,21,Telugu Titans,50,1,13,22,16.69,10.13,26.81,76,267,206,157,7,5,162,506,454,0
37,2017,22,7,3,12,5,58,22,Telugu Titans,52,0,26,25,18.18,9.41,27.59,88,400,332,191,10,17,207,696,698,0
50,2018,22,8,1,13,5,53,21,Telugu Titans,51,0,25,18,16.05,10.59,26.63,85,353,289,202,9,33,233,647,702,0
2,2013,16,9,3,4,2,45,16,U Mumba,51,1,19,21,21.69,9.81,31.5,40,347,270,145,12,12,157,550,499,0
9,2014,16,14,0,2,1,39,17,U Mumba,60,1,14,20,14.81,12.25,27.06,81,237,187,180,7,16,196,489,426,1
19,2015,16,13,0,3,1,41,21,U Mumba,60,1,12,27,15.81,10.56,26.37,59,253,206,163,7,6,169,502,397,0
26,2016,14,7,1,6,4,38,8,U Mumba,42,0,21,15,16.21,8.64,24.85,42,227,188,110,4,11,121,399,418,0
43,2017,22,10,0,12,4,51,14,U Mumba,56,0,36,21,19.05,9.18,28.22,78,419,322,176,10,26,202,707,757,0
55,2018,23,15,2,6,2,53,27,U Mumba,86,1,16,41,19.96,12.57,32.52,89,459,372,274,15,15,289,856,672,0
33,2017,23,8,4,11,3,53,29,U.P. Yoddha,60,1,32,23,20.04,8.74,28.78,83,461,358,183,23,19,201,762,763,0
48,2018,25,10,4,11,3,47,16,U.P. Yoddha,57,1,30,26,17.96,10.6,28.56,86,449,357,240,10,27,265,812,847,0
